,Date,Time,Open,High,Low,Close,Volume
194,2013-10-11,00:00:00,126.46,127.4,125.54,126.9,2177
195,2013-10-12,00:00:00,126.9,127.96,126.65,127.8,1651
196,2013-10-13,00:00:00,127.6,133.23,127.55,132.86,6020
197,2013-10-14,00:00:00,132.6,139.99,132.0,135.4,12310
198,2013-10-15,00:00:00,135.47,150.0,134.09,144.39,10815
199,2013-10-16,00:00:00,144.39,147.0,137.21,137.56,15517
200,2013-10-17,00:00:00,137.54,144.98,133.99,143.94,5237
201,2013-10-18,00:00:00,143.49,155.25,143.0,153.0,14115
202,2013-10-19,00:00:00,152.89,178.5,151.5,166.5,20875
203,2013-10-20,00:00:00,168.0,168.875,162.31,166.89,3857
204,2013-10-21,00:00:00,166.44,183.0,166.0,180.37,12821
205,2013-10-22,00:00:00,180.5,215.0,179.1,191.75,18464
206,2013-10-23,00:00:00,194.5,212.89,187.0,203.99,13848
207,2013-10-24,00:00:00,204.5,210.995,155.81,193.72,41374
208,2013-10-25,00:00:00,194.0,195.13,167.75,187.5,20163
209,2013-10-26,00:00:00,186.62,190.0,175.21,179.55,6283
210,2013-10-27,00:00:00,179.56,198.75,179.1,196.7,6583
211,2013-10-28,00:00:00,196.0,199.0,192.15,196.01,5605
212,2013-10-29,00:00:00,196.01,205.0,195.37,204.69,8092
213,2013-10-30,00:00:00,203.7,206.0,195.05,198.74,14204
214,2013-10-31,00:00:00,198.7,204.0,195.28,202.52,5287
215,2013-11-1,00:00:00,203.79,204.0,200.5,201.754999,1950
216,2013-11-2,00:00:00,202.24,205.79,201.33,204.94,4054
217,2013-11-3,00:00:00,204.67,219.89,203.0,213.8975,4806
218,2013-11-4,00:00:00,213.949,230.5,211.0,226.50499989999997,11528
219,2013-11-5,00:00:00,227.29,250.75,225.44,242.88,23917
220,2013-11-6,00:00:00,242.6,265.0,240.6,263.24,27950
221,2013-11-7,00:00:00,263.5,297.79,262.0,291.0,35703
222,2013-11-8,00:00:00,290.8,334.95,288.89,333.9,22587
223,2013-11-9,00:00:00,333.9,386.0,297.0,338.22941000000003,30872
